Unnamed: 0,powerPlay,AverageScore,battingTeam,bowlingTeam,city,delivery_left,score,CurrentRunRate,wicketsLeft,Run_In_Last5,Wickets_In_Last5,Final_Score,innings
15595,0.0,170.24137931034485,West Indies,South Africa,Johannesburg,31,80,5.393258426966292,4,32.0,,131,1.0
125336,0.0,129.41666666666666,New Zealand,England,Abu Dhabi,65,50,5.454545454545455,8,30.0,0.0,167,2.0
93060,0.0,148.91666666666666,Australia,West Indies,St Lucia,55,82,7.569230769230769,9,34.0,0.0,153,2.0
144816,0.0,141.92307692307693,India,Australia,Sydney,71,92,11.26530612244898,9,46.0,0.0,200,2.0
36549,0.0,146.41666666666666,Sri Lanka,Pakistan,Abu Dhabi,61,61,6.203389830508474,9,29.0,1.0,124,1.0
62803,0.0,136.0,Bangladesh,Netherlands,The Hague,68,47,5.423076923076923,7,39.0,0.0,128,1.0
107609,0.0,135.2,New Zealand,Australia,Wellington,75,33,4.4,9,21.0,1.0,106,2.0
113748,0.0,138.07142857142858,Zimbabwe,Pakistan,Harare,24,96,6.0,4,36.0,2.0,136,2.0
158375,0.0,130.5,England,Pakistan,Manchester,46,124,10.054054054054054,8,56.0,0.0,199,2.0
25278,0.0,178.75,Bangladesh,New Zealand,Hamilton,72,43,5.375,5,25.0,,78,1.0
12739,0.0,138.1627906976744,Pakistan,England,Dubai,41,81,6.151898734177215,5,,,144,1.0
47411,0.0,166.2,Ireland,Netherlands,Sylhet,80,51,7.649999999999999,9,43.0,1.0,189,1.0
97036,0.0,149.28571428571428,Pakistan,Bangladesh,Cape Town,77,67,9.348837209302324,8,48.0,2.0,141,2.0
66881,0.0,161.36363636363637,Bangladesh,Pakistan,Lahore,48,75,6.25,9,30.0,1.0,141,1.0
13296,0.0,170.24137931034485,South Africa,West Indies,Johannesburg,0,231,11.55,3,52.0,3.0,231,1.0
64856,0.0,153.88235294117646,Sri Lanka,West Indies,Barbados,63,77,8.105263157894736,9,47.0,0.0,195,1.0
19470,0.0,145.89473684210526,Zimbabwe,Bangladesh,Dhaka,81,51,7.846153846153846,9,42.0,0.0,144,1.0
149038,0.0,176.0,Ireland,Netherlands,Al Amarat,0,183,9.15,1,52.0,6.0,183,2.0
37646,1.0,146.41666666666666,India,Afghanistan,Abu Dhabi,85,53,9.085714285714284,10,46.0,0.0,210,1.0
65117,0.0,153.88235294117646,Australia,Bangladesh,Barbados,49,62,5.23943661971831,5,23.0,2.0,141,1.0
51103,1.0,153.0,England,India,Pune,88,41,7.6875,9,40.0,1.0,157,1.0
49092,0.0,168.66666666666666,New Zealand,India,Auckland,63,70,7.368421052631579,8,33.0,2.0,132,1.0
126197,0.0,129.41666666666666,Afghanistan,India,Abu Dhabi,17,110,6.407766990291262,5,36.0,0.0,144,2.0
169886,0.0,122.75,West Indies,Afghanistan,Lucknow,75,34,4.533333333333333,8,21.0,2.0,106,2.0
3026,0.0,154.71428571428572,Sri Lanka,West Indies,Bengaluru,71,47,5.755102040816327,7,27.0,2.0,122,1.0
8716,0.0,138.1627906976744,India,New Zealand,Dubai,77,39,5.441860465116279,8,,,110,1.0
20582,0.0,145.89473684210526,Bangladesh,Australia,Dhaka,69,57,6.705882352941177,8,22.0,2.0,122,1.0
86163,1.0,169.75,Zimbabwe,Bangladesh,Bulawayo,91,39,8.068965517241379,9,39.0,1.0,168,1.0
47489,0.0,166.2,Ireland,Netherlands,Sylhet,4,180,9.310344827586208,7,70.0,0.0,189,1.0
160457,0.0,145.33333333333334,England,New Zealand,Delhi,53,104,9.313432835820896,9,36.0,1.0,159,2.0
146615,0.0,130.8,England,Netherlands,Chattogram,47,55,4.52054794520548,4,27.0,3.0,88,2.0
104552,1.0,149.27586206896552,India,New Zealand,Johannesburg,87,76,13.818181818181818,10,74.0,0.0,180,2.0
143684,0.0,162.0,India,England,Bristol,76,75,10.227272727272728,8,50.0,1.0,201,2.0
138674,0.0,126.0,Sri Lanka,Afghanistan,Kolkata,55,76,7.015384615384615,8,,,155,
3453,0.0,154.71428571428572,India,Pakistan,Bengaluru,16,122,7.038461538461539,5,,,133,1.0
26947,0.0,146.14285714285714,New Zealand,Pakistan,Sharjah,76,46,6.272727272727273,9,,,134,1.0
15024,0.0,170.24137931034485,South Africa,Pakistan,Johannesburg,17,134,7.805825242718446,7,44.0,1.0,188,1.0
157821,0.0,130.5,England,India,Manchester,43,110,8.571428571428571,7,47.0,0.0,169,2.0
34302,1.0,169.58823529411765,Sri Lanka,England,Pallekele,87,41,7.454545454545454,9,37.0,1.0,169,1.0
50246,0.0,168.66666666666666,New Zealand,Australia,Auckland,21,125,7.575757575757576,2,28.0,2.0,150,1.0
142373,0.0,130.3448275862069,Bangladesh,Pakistan,Mirpur,70,23,2.76,5,14.0,3.0,85,2.0
85458,0.0,166.4,Sri Lanka,Australia,Brisbane,77,42,5.8604651162790695,8,36.0,1.0,117,1.0
120000,0.0,135.609756097561,Sri Lanka,Bangladesh,Colombo,65,81,8.836363636363638,8,51.0,2.0,158,2.0
154867,0.0,140.0,England,India,Cardiff,38,96,7.024390243902439,6,,,149,
60967,1.0,154.66666666666666,Afghanistan,Ireland,Bready,89,27,5.225806451612903,8,26.0,2.0,160,1.0
85526,0.0,166.4,Sri Lanka,Australia,Brisbane,9,115,6.216216216216216,1,29.0,3.0,117,1.0
139140,0.0,126.0,India,West Indies,Kolkata,70,46,5.52,6,25.0,2.0,110,2.0
135307,0.0,170.66666666666666,India,Bangladesh,Rajkot,52,121,10.676470588235292,9,51.0,1.0,154,2.0
115458,0.0,170.6,India,Sri Lanka,Chandigarh,39,146,10.814814814814817,8,57.0,,211,2.0
105456,0.0,149.27586206896552,Pakistan,South Africa,Johannesburg,51,115,10.0,9,45.0,0.0,181,2.0
162844,0.0,113.2,West Indies,Bangladesh,St Kitts,51,81,7.043478260869565,7,29.0,1.0,119,2.0
171552,,122.5,West Indies,South Africa,Antigua,65,28,3.0545454545454547,8,,,119,
169814,0.0,122.75,West Indies,India,Lucknow,25,87,5.494736842105263,3,19.0,2.0,124,2.0
10090,0.0,138.1627906976744,Australia,Pakistan,Dubai,4,108,5.586206896551724,1,,,108,1.0
113359,0.0,138.07142857142858,Pakistan,Zimbabwe,Harare,41,62,4.708860759493671,7,25.0,1.0,99,2.0
38190,0.0,146.41666666666666,Afghanistan,Zimbabwe,Abu Dhabi,34,101,7.046511627906977,6,41.0,3.0,183,1.0
18574,0.0,145.89473684210526,Bangladesh,West Indies,Dhaka,14,190,10.754716981132075,6,58.0,0.0,211,1.0
120153,0.0,135.609756097561,India,Bangladesh,Colombo,27,115,7.419354838709677,7,32.0,1.0,140,2.0
138145,0.0,149.95833333333334,New Zealand,Pakistan,Auckland,48,91,7.583333333333333,7,,,156,2.0
23175,0.0,157.21428571428572,India,Zimbabwe,Harare,65,50,5.454545454545455,7,23.0,2.0,138,1.0
18632,0.0,145.89473684210526,India,Bangladesh,Dhaka,79,37,5.414634146341464,8,28.0,1.0,166,1.0
34079,0.0,169.58823529411765,New Zealand,England,Pallekele,65,54,5.890909090909092,7,27.0,,148,1.0
72209,0.0,174.0,New Zealand,India,Chennai,35,101,7.129411764705883,7,42.0,1.0,167,1.0
119554,0.0,135.609756097561,India,Bangladesh,Colombo,54,86,7.818181818181818,7,29.0,1.0,168,2.0
4501,0.0,160.83333333333334,Pakistan,England,Nottingham,83,50,8.108108108108107,10,,,232,1.0
69714,0.0,142.375,Sri Lanka,England,Cardiff,4,101,5.224137931034483,3,21.0,2.0,111,1.0
17333,0.0,162.46666666666667,Australia,New Zealand,Wellington,9,195,10.54054054054054,6,70.0,2.0,208,1.0
43175,0.0,152.8,South Africa,England,London,79,76,11.121951219512196,9,57.0,1.0,177,1.0
29809,0.0,153.14285714285714,Sri Lanka,Pakistan,Colombo,44,90,7.105263157894737,5,34.0,3.0,172,1.0
66000,0.0,191.25,India,West Indies,Mumbai,38,145,10.609756097560975,8,38.0,2.0,240,1.0
2147,0.0,154.0,West Indies,Pakistan,St Lucia,69,71,8.352941176470589,9,,,150,1.0
135229,0.0,153.6,West Indies,Bangladesh,Sylhet,60,113,11.3,8,40.0,1.0,130,2.0
133386,0.0,146.15384615384616,Australia,India,Durban,62,75,7.758620689655173,8,40.0,2.0,173,2.0
65002,0.0,153.88235294117646,West Indies,England,Barbados,42,109,8.384615384615385,8,,,170,1.0
85314,1.0,171.66666666666666,West Indies,Australia,Gros Islet,88,70,13.125,9,68.0,1.0,199,1.0
122417,0.0,147.11764705882354,Bangladesh,New Zealand,Pallekele,65,47,5.127272727272728,6,17.0,2.0,132,2.0
55279,0.0,148.20689655172413,West Indies,Pakistan,Mirpur,47,74,6.082191780821918,6,29.0,2.0,166,1.0
17414,0.0,162.46666666666667,India,New Zealand,Wellington,49,86,7.267605633802816,7,32.0,0.0,149,1.0
42858,0.0,152.8,Sri Lanka,West Indies,London,29,99,6.527472527472527,7,26.0,3.0,158,1.0
18881,0.0,145.89473684210526,Bangladesh,Australia,Dhaka,76,37,5.045454545454546,8,32.0,0.0,127,1.0
108894,0.0,125.15789473684212,Australia,Bangladesh,Dhaka,64,50,5.357142857142857,9,35.0,0.0,117,2.0
165017,1.0,154.25,South Africa,India,Centurion,89,38,7.354838709677419,8,38.0,2.0,189,2.0
42015,0.0,152.8,Sri Lanka,Ireland,London,1,140,7.058823529411765,1,39.0,5.0,144,1.0
82900,0.0,177.33333333333334,Pakistan,South Africa,Centurion,20,171,10.26,6,42.0,2.0,195,1.0
61114,0.0,154.66666666666666,Ireland,Zimbabwe,Bready,64,54,5.785714285714286,9,28.0,1.0,178,1.0
174089,0.0,158.0,Sri Lanka,India,Indore,25,169,10.673684210526316,3,,,172,2.0
115918,0.0,136.78571428571428,Bangladesh,West Indies,Sharjah,58,56,5.419354838709677,8,28.0,1.0,139,2.0
